Sr,SKU,Old Discription,New Discription,Brand,Mfr,IS Duplicate
11952,BM0M3S1,"SCHNEIDER NEO 2G Keystone Plate Shuttered, Grey Silver - E3032RJK>GS-OS","SCHNEIDER ELECTRIC NEO 2G Keystone Plate Shuttered, Colour Grey Silver - E3032RJK>GS-OS",SCHNEIDER ELECTRIC,E3032RJK>GS-OS,
11953,BM0M3S2,"SCHNEIDER NEO 2G Keystone Plate Shuttered, White - E3032RJK>WW-OS","SCHNEIDER ELECTRIC NEO 2G Keystone Plate Shuttered, Colour White - E3032RJK>WW-OS",SCHNEIDER ELECTRIC,E3032RJK>WW-OS,
11954,BM0M3M1,"SCHNEIDER NEO 3 Gang, 10 A, 1 Way, Vertical Dolly Switch with Blue LED - E3033V1EBGS","SCHNEIDER ELECTRIC NEO 3 Gang 1 Way Grey Vertical Dolly Switch with Blue LED Indicator, Voltage 250V - E3033V1EBGS",SCHNEIDER ELECTRIC,E3033V1EBGS,
11955,BM0M3L3,"SCHNEIDER NEO 3 Gang, 10 A, 1 Way, Horizontal Dolly Switch with Fluorescent Indicator - E3033H1FWWW","SCHNEIDER ELECTRIC NEO 3 Gang 1 Way Horizontal Dolly Switch with Fluorescent Indicator, Colour White, Voltage 250V - E3033H1FWWW",SCHNEIDER ELECTRIC,E3033H1FWWW,
11956,BM0M3K5,"SCHNEIDER NEO 3 Gang, 10 A, 1 Way, Horizontal Dolly Switch with LED - E3033H1EWWW","SCHNEIDER ELECTRIC NEO 3 Gang 1 Way Horizontal Dolly Switch with LED, Colour White, Voltage 250V - E3033H1EWWW",SCHNEIDER ELECTRIC,E3033H1EWWW,
11957,BM0M3N3,"SCHNEIDER NEO 3 Gang, 10 A, 1 Way, Vertical Dolly Switch with Fluorescent Indicator - E3033V1FWWW","SCHNEIDER ELECTRIC NEO 3 Gang 1 Way White Vertical Dolly Switch with Fluorescent Indicator, Voltage 250V - E3033V1FWWW",SCHNEIDER ELECTRIC,E3033V1FWWW,
11958,BM0M3M7,"SCHNEIDER NEO 3 Gang, 10 A, 1 Way, Vertical Dolly Switch with LED - E3033V1EWWW","SCHNEIDER ELECTRIC NEO 3 Gang 1 Way White Vertical Dolly Switch with LED, Voltage 250V - E3033V1EWWW",SCHNEIDER ELECTRIC,E3033V1EWWW,
11959,BM0M3J8,"SCHNEIDER NEO 3 Gang, 10 A, 2 Way, Horizontal Dolly Switch with Blue LED - E3033H2EBGS","SCHNEIDER ELECTRIC NEO 3 Gang 2 Way Grey Horizontal Dolly Switch with Blue LED Indicator, Voltage 250V - E3033H2EBGS",SCHNEIDER ELECTRIC,E3033H2EBGS,
11960,BM0M3M2,"SCHNEIDER NEO 3 Gang, 10 A, 2 Way, Vertical Dolly Switch with Blue LED - E3033V2EBGS","SCHNEIDER ELECTRIC NEO 3 Gang 2 Way Grey Vertical Dolly Switch with Blue LED Indicator, Voltage 250V - E3033V2EBGS",SCHNEIDER ELECTRIC,E3033V2EBGS,
11961,BM0M3L4,"SCHNEIDER NEO 3 Gang, 10 A, 2 Way, Horizontal Dolly Switch with Fluorescent Indicator - E3033H2FWWW","SCHNEIDER ELECTRIC NEO 3 Gang 2 Way White Horizontal Dolly Switch with White Fluorescent Indicator, Voltage 250V - E3033H2FWWW",SCHNEIDER ELECTRIC,E3033H2FWWW,
11962,BM0M3K6,"SCHNEIDER NEO 3 Gang, 10 A, 2 Way, Horizontal Dolly Switch with LED - E3033H2EWWW","SCHNEIDER ELECTRIC NEO 3 Gang 2 Way White Horizontal Dolly Switch with White LED Indicator, Voltage 250V - E3033H2EWWW",SCHNEIDER ELECTRIC,E3033H2EWWW,
11963,BM0M3N4,"SCHNEIDER NEO 3 Gang, 10 A, 2 Way, Vertical Dolly Switch with Fluorescent Indicator - E3033V2FWWW","SCHNEIDER ELECTRIC NEO 3 Gang 2 Way White Vertical Dolly Switch with White Fluorescent Indicator, Voltage 250V - E3033V2FWWW",SCHNEIDER ELECTRIC,E3033V2FWWW,
11964,BM0M3M8,"SCHNEIDER NEO 3 Gang, 10 A, 2 Way, Vertical Dolly Switch with LED - E3033V2EWWW","SCHNEIDER ELECTRIC NEO 3 Gang 2 Way White Vertical Dolly Switch with White LED Indicator, Voltage 250V - E3033V2EWWW",SCHNEIDER ELECTRIC,E3033V2EWWW,
11965,BM0M3J9,"SCHNEIDER NEO 4 Gang, 10 A, 1 Way, Horizontal Dolly Switch with Blue LED - E3034H1EBGS","SCHNEIDER ELECTRIC NEO 4 Gang 1 Way Grey Horizontal Dolly Switch with Blue LED Indicator, Voltage 250V - E3034H1EBGS",SCHNEIDER ELECTRIC,E3034H1EBGS,
11966,BM0M3L5,"SCHNEIDER NEO 4 Gang, 10 A, 1 Way, Horizontal Dolly Switch with Fluorescent Indicator - E3034H1FWWW","SCHNEIDER ELECTRIC NEO 4 Gang 1 Way White Horizontal Dolly Switch with White Fluorescent Indicator, Voltage 250V - E3034H1FWWW",SCHNEIDER ELECTRIC,E3034H1FWWW,
11967,BM0M3K7,"SCHNEIDER NEO 4 Gang, 10 A, 1 Way, Horizontal Dolly Switch with LED - E3034H1EWWW","SCHNEIDER ELECTRIC NEO 4 Gang 1 Way White Horizontal Dolly Switch with White LED Indicator, Voltage 250V- E3034H1EWWW",SCHNEIDER ELECTRIC,E3034H1EWWW,
11968,BM0M3K0,"SCHNEIDER NEO 4 Gang, 10 A, 2 Way, Horizontal Dolly Switch with Blue LED - E3034H2EBGS","SCHNEIDER ELECTRIC NEO 4 Gang 2 Way Grey Horizontal Dolly Switch with Blue LED Indicator, Voltage 250V - E3034H2EBGS",SCHNEIDER ELECTRIC,E3034H2EBGS,
11969,BM0M3K8,"SCHNEIDER NEO 4 Gang, 10 A, 2 Way, Horizontal Dolly Switch with LED - E3034H2EWWW","SCHNEIDER ELECTRIC NEO 4 Gang 2 Way White Horizontal Dolly Switch with LED Indicator, Voltage 250V- E3034H2EWWW",SCHNEIDER ELECTRIC,E3034H2EWWW,
11970,BM0M3L6,"SCHNEIDER NEO 4 Gang, 10 A, 2 Way, Horizontal Dolly Switch with Fluorescent Indicator - E3034H2FWWW","SCHNEIDER ELECTRIC NEO 4 Gang 2 Way White Horizontal Dolly Switch with White Fluorescent Indicator, Voltage 250V - E3034H2FWWW",SCHNEIDER ELECTRIC,E3034H2FWWW,
11971,BM0M3R1,"SCHNEIDER NEO 4 Pin, 1 Gang Telephone Outlet (CAT 3) in Grey Colour - E3031RJ>GS-OS","SCHNEIDER ELECTRIC NEO 4 Pin 1 Gang Telephone CAT 3Outlet, Colour Grey - E3031RJ>GS-OS",SCHNEIDER ELECTRIC,E3031RJ>GS-OS,
11972,BM0M3R5,"SCHNEIDER NEO 4 Pin, 1 Gang Telephone Outlet (CAT 3) in White Colour - E3031RJ>WW-OS","SCHNEIDER ELECTRIC NEO 4 Pin 1 Gang Telephone CAT 3Outlet, Colour White - E3031RJ>WW-OS",SCHNEIDER ELECTRIC,E3031RJ>WW-OS,
11973,BM0M3R3,"SCHNEIDER NEO 4 Pin, 2 Gang Telephone Outlet (CAT 3) in Grey Colour - E3032RJ>GS-OS","SCHNEIDER ELECTRIC NEO 4 Pin 2 Gang Telephone CAT 3Outlet, Colour Grey - E3032RJ>GS-OS",SCHNEIDER ELECTRIC,E3032RJ>GS-OS,
11974,BM0M3R7,"SCHNEIDER NEO 4 Pin, 2 Gang Telephone Outlet (CAT 3) in White Colour - E3032RJ>WW-OS","SCHNEIDER ELECTRIC NEO 4 Pin 2 Gang Telephone CAT 3Outlet, Colour White - E3032RJ>WW-OS",SCHNEIDER ELECTRIC,E3032RJ>WW-OS,
11975,BM0M3P2,"SCHNEIDER NEO Electronic Key Card Switch (Horizontal), Grey - E3031EKTH>GS-OS","SCHNEIDER ELECTRIC NEO Horizontal Electronic Key Card Switch, Color Grey - E3031EKTH>GS-OS",SCHNEIDER ELECTRIC,E3031EKTH>GS-OS,
11976,BM0M3P8,"SCHNEIDER NEO Electronic Key Card Switch (Horizontal), White - E3031EKTH>WW-OS","SCHNEIDER ELECTRIC NEO Horizontal Electronic Key Card Switch, Color White - E3031EKTH>WW-OS",SCHNEIDER ELECTRIC,E3031EKTH>WW-OS,
11977,BM0M3Q2,"SCHNEIDER NEO International Socket, White Colour - E3426/10IS>WW-OS","SCHNEIDER ELECTRIC NEO International Socket, Current 10A, Color White - E3426/10IS>WW-OS",SCHNEIDER ELECTRIC,E3426/10IS>WW-OS,
11978,BM0M3Q1,"SCHNEIDER NEO International Socket, Grey Colour - E3426/10IS>GS-OS","SCHNEIDER ELECTRIC NEO International Socket, Current 10A, Grey Colour - E3426/10IS>GS-OS",SCHNEIDER ELECTRIC,E3426/10IS>GS-OS,
11979,BM9A6K7,"SCHNEIDER Push Button, No Element, Telemechanic",SCHNEIDER ELECTRIC No Element Telemechanic Push Button,SCHNEIDER ELECTRIC,,
11980,BM9A6L2,"SCHNEIDER Emergency Push Button, No Nc Contact",SCHNEIDER ELECTRIC No Nc Contact Emergency Push Button,SCHNEIDER ELECTRIC,,
11981,BM9A6L3,"SCHNEIDER Push Button, No Nc Contact, Key Switch",SCHNEIDER ELECTRIC No Nc Contact Key Switch Push Button,SCHNEIDER ELECTRIC,,
11982,BM9F5R9,"SCHNEIDER Electric Time Delay Relay, Output Current 8 Amp, Input Voltage 10 V, Supply Frequency 50-60 Hz (+/- 5 %) - RE17RAMU ","SCHNEIDER ELECTRIC On Delay Timing Relay, Input Voltage 10V, Frequency 50-60 Hz - RE17RAMU",SCHNEIDER ELECTRIC,RE17RAMU,
11983,BM0M2I9,"SCHNEIDER OPALE Metal Box 1 & 2 modules, 0.8 mm - GE0102","SCHNEIDER ELECTRIC OPALE 1 & 2 Module Metal Box, Size 0.8 mm - GE0102",SCHNEIDER ELECTRIC,GE0102,
11984,BM0M2I1,"SCHNEIDER OPALE Metal Box 1 & 2 modules, 1 mm - GR1102","SCHNEIDER ELECTRIC OPALE 1 & 2 Module Metal Box, Size 1 mm - GR1102",SCHNEIDER ELECTRIC,GR1102,
11985,BM0M2T0,"SCHNEIDER OPALE Wall Plate, Flush Surround, 56FA1-GY","SCHNEIDER ELECTRIC OPALE 1 Gang Flush Surround Wall Plate, Height 157 mm, Width 157 mm, Depth 13 mm - 56FA1-GY",SCHNEIDER ELECTRIC,56FA1-GY,
11986,BM0M2P9,"SCHNEIDER OPALE 1 Gangpoints, 107 X 101 X 90mm - 56JB1-GY","SCHNEIDER ELECTRIC OPALE 1 Gangpoint Junction Box, Size 107 X 101 X 90 mm - 56JB1-GY",SCHNEIDER ELECTRIC,56JB1-GY,
11987,BM0M2Q8,SCHNEIDER OPALE 1 Gang IP 66 Enclosure - WS229VH-RG,SCHNEIDER ELECTRIC OPALE 1 Gangpoint Surface & Flush Mounting Switch with Enclosure - WS229VH-RG,SCHNEIDER ELECTRIC,WS229VH-RG,
11988,BM0M2Q6,SCHNEIDER OPALE 1 Gang 15A Single Pole Switch - WS226-RG-EX,"SCHNEIDER ELECTRIC OPALE 1 Gangpoint Surface & Flush Mounting Switch with Enclosure, Current 15A - WS226-RG-EX",SCHNEIDER ELECTRIC,WS226-RG-EX,
11989,BM0M2Q9,"SCHNEIDER OPALE 1 Gang, 10A Surface Mounting Pushbutton Station - WS226PB-RG-EX","SCHNEIDER ELECTRIC OPALE 1 Gangpoint Surface Mounting Push Button with Enclosure, Current 10A - WS226PB-RG-EX",SCHNEIDER ELECTRIC,WS226PB-RG-EX,
11990,BM0M2R0,"SCHNEIDER OPALE 1 Gang, 10A Surface Mounting Pushbutton Station-Stop - WS226PBS-RG-EX","SCHNEIDER ELECTRIC OPALE 1 Gangpoint Surface Mounting Push Button with Enclosure, Current 10A - WS226PBS-RG-EX",SCHNEIDER ELECTRIC,WS226PBS-RG-EX,
11991,BM0M2F9,"SCHNEIDER OPALE Blank off Unit (1 M), Coke Grey - AAKY0001","SCHNEIDER ELECTRIC OPALE 1 Module Blank off Unit, Color Coke Grey - AAKY0001",SCHNEIDER ELECTRIC,AAKY0001,
11992,BM0M3J0,"SCHNEIDER OPALE 6A, 1-Way Switch 2 module with Indicator, Coke Grey - AAKY1028","SCHNEIDER ELECTRIC OPALE 1 Way 2 Module Switch with Indicator Lamp, Current 6A, Color Coke Grey - AAKY1028",SCHNEIDER ELECTRIC,AAKY1028,
11993,BM0M3H8,"SCHNEIDER OPALE 6A, 1-Way Switch 2 module with Indicator, White - X1028WH","SCHNEIDER ELECTRIC OPALE 1 Way 2 Module Switch with Indicator Lamp, Current 6A, Color White - X1028WH",SCHNEIDER ELECTRIC,X1028WH,
11994,BM0M3J1,"SCHNEIDER OPALE 16A, 1-Way Switch 2 module with Indicator, Coke Grey - AAKY1128","SCHNEIDER ELECTRIC OPALE 1 Way 2 Module Switch with Indicator, Colour Coke Grey - AAKY1128",SCHNEIDER ELECTRIC,AAKY1128,
11995,BM0M3H9,"SCHNEIDER OPALE 16A, 1-Way Switch 2 module with Indicator, White - X1128WH","SCHNEIDER ELECTRIC OPALE 1 Way 2 Module Switch with Indicator, Colour White - X1128WH",SCHNEIDER ELECTRIC,X1128WH,
11996,BM0M3I9,"SCHNEIDER OPALE 16A, 1-Way Switch 2 module, Coke Grey - AAKY1121","SCHNEIDER ELECTRIC OPALE 1 Way 2 Module Switch, Colour Coke Grey - AAKY1121",SCHNEIDER ELECTRIC,AAKY1121,
11997,BM0M3H7,"SCHNEIDER OPALE 16A, 1-Way Switch 2 module, White - X1121WH","SCHNEIDER ELECTRIC OPALE 1 Way 2 Module Switch, Colour White - X1121WH",SCHNEIDER ELECTRIC,X1121WH,
11998,BM0M3I8,"SCHNEIDER OPALE 6A, 1-Way Switch 2 module, Coke Grey - AAKY1021","SCHNEIDER ELECTRIC OPALE 1 Way 2 Module Switch, Current 6A, Color Coke Grey - AAKY1021",SCHNEIDER ELECTRIC,AAKY1021,
11999,BM0M3H6,"SCHNEIDER OPALE 6A, 1-Way Switch 2 module, White - X1021WH","SCHNEIDER ELECTRIC OPALE 1 Way 2 Module Switch, Current 6A, Color White - X1021WH",SCHNEIDER ELECTRIC,X1021WH,
12000,BM0M3I6,"SCHNEIDER OPALE 16A, 1-Way Switch with Indication Lamp, Coke Grey - AAKY1181","SCHNEIDER ELECTRIC OPALE 1 Way Switch with Indication Lamp, Colour Coke Grey - AAKY1181",SCHNEIDER ELECTRIC,AAKY1181,
12001,BM0M3H4,"SCHNEIDER OPALE 16A, 1-Way Switch with Indication Lamp, White - X1181WH","SCHNEIDER ELECTRIC OPALE 1 Way Switch with Indication Lamp, Colour White - X1181WH",SCHNEIDER ELECTRIC,X1181WH,
12002,BM0M3I3,"SCHNEIDER OPALE 6A, 1-Way Switch with Indication Lamp, Coke Grey - AAKY1081","SCHNEIDER ELECTRIC OPALE 1 Way Switch with Indication Lamp, Current 6A, Color Coke Grey - AAKY1081",SCHNEIDER ELECTRIC,AAKY1081,
12003,BM0M3H1,"SCHNEIDER OPALE 6A, 1-Way Switch with Indication Lamp, White - X1081WH","SCHNEIDER ELECTRIC OPALE 1 Way Switch with Indication Lamp, Current 6A, Color White - X1081WH",SCHNEIDER ELECTRIC,X1081WH,
12004,BM0M3I5,"SCHNEIDER OPALE 16A, 1-Way Switch, Coke Grey - AAKY1101","SCHNEIDER ELECTRIC OPALE 1 Way Switch, Colour Coke Grey - AAKY1101",SCHNEIDER ELECTRIC,AAKY1101,
12005,BM0M3H3,"SCHNEIDER OPALE 16A, 1-Way Switch, White - X1101WH","SCHNEIDER ELECTRIC OPALE 1 Way Switch, Colour White - X1101WH",SCHNEIDER ELECTRIC,X1101WH,
12006,BM0M3I2,"SCHNEIDER OPALE 6A, 1-Way Switch, Coke Grey - AAKY1001","SCHNEIDER ELECTRIC OPALE 1 Way Switch, Current 6A, Color Coke Grey - AAKY1001",SCHNEIDER ELECTRIC,AAKY1001,
12007,BM0M3H0,"SCHNEIDER OPALE 6A, 1-Way Switch, White - X1001WH","SCHNEIDER ELECTRIC OPALE 1 Way Switch, Current 6A, Color White - X1001WH",SCHNEIDER ELECTRIC,X1001WH,
12008,BM0M2J5,SCHNEIDER OPALE MMR Switch - AAKX6004,"SCHNEIDER ELECTRIC OPALE 1 Way White Switch with Green Indicator & MMR Sign, Current 6A - AAKX6004",SCHNEIDER ELECTRIC,AAKX6004,
12009,BM0M2J3,SCHNEIDER OPALE DND Switch - AAKX6002,"SCHNEIDER ELECTRIC OPALE 1 Way White Switch with Red Indicator & DND Sign, Current 6A - AAKX6002",SCHNEIDER ELECTRIC,AAKX6002,
12010,BM0M2E5,SCHNEIDER OPALE 1-2 M Grid & 1 M Cover Frame Combined - Coke Grey - AAKY0801,"SCHNEIDER ELECTRIC OPALE 1-2 Module Grid & 1 Module Combined Cover Frame, Colour Coke Grey - AAKY0801",SCHNEIDER ELECTRIC,AAKY0801,
12011,BM0M2G9,SCHNEIDER OPALE 1-2 M Grid & 1 M Cover Frame Combined - Matt Gold - AAKX0751,"SCHNEIDER ELECTRIC OPALE 1-2 Module Grid & 1 Module Combined Cover Frame, Colour Matt Gold - AAKX0751",SCHNEIDER ELECTRIC,AAKX0751,
12012,BM0M2G0,SCHNEIDER OPALE 1-2 M Grid & 1 M Cover Frame Combined - Matt Silver - AAKX0741,"SCHNEIDER ELECTRIC OPALE 1-2 Module Grid & 1 Module Combined Cover Frame, Colour Matt Silver - AAKX0741",SCHNEIDER ELECTRIC,AAKX0741,
12013,BM0M2D5,SCHNEIDER OPALE 1-2 M Grid & 1 M Cover Frame Combined - White - X0701,"SCHNEIDER ELECTRIC OPALE 1-2 Module Grid & 1 Module Combined Cover Frame, Colour White - X0701",SCHNEIDER ELECTRIC,X0701,
12014,BM0M2F3,SCHNEIDER OPALE 12 M Grid & 12 M Cover Frame - Coke Grey - AAKY0812,"SCHNEIDER ELECTRIC OPALE 12 Module Grid & 12 Module Cover Frame, Colour Coke Grey - AAKY0812",SCHNEIDER ELECTRIC,AAKY0812,
12015,BM0M2H7,SCHNEIDER OPALE 12 M Grid & 12 M Cover Frame - Matt Gold - AAKX0759,"SCHNEIDER ELECTRIC OPALE 12 Module Grid & 12 Module Cover Frame, Colour Matt Gold - AAKX0759",SCHNEIDER ELECTRIC,AAKX0759,
12016,BM0M2G8,SCHNEIDER OPALE 12 M Grid & 12 M Cover Frame - Matt Silver - AAKX0749,"SCHNEIDER ELECTRIC OPALE 12 Module Grid & 12 Module Cover Frame, Colour Matt Silver - AAKX0749",SCHNEIDER ELECTRIC,AAKX0749,
12017,BM0M2E3,SCHNEIDER OPALE 12 M Grid & 12 M Cover Frame - White - X0712,"SCHNEIDER ELECTRIC OPALE 12 Module Grid & 12 Module Cover Frame, Colour White - X0712",SCHNEIDER ELECTRIC,X0712,
12018,BM0M2E6,SCHNEIDER OPALE 1-2 M Grid & 2 M Cover Frame - Coke Grey - AAKY0802,"SCHNEIDER ELECTRIC OPALE 1-2 Module Grid & 2 Module Cover Frame, Colour Coke Grey - AAKY0802",SCHNEIDER ELECTRIC,AAKY0802,
12019,BM0M2H0,SCHNEIDER OPALE 1-2 M Grid & 2 M Cover Frame - Matt Gold - AAKX0752,"SCHNEIDER ELECTRIC OPALE 1-2 Module Grid & 2 Module Cover Frame, Colour Matt Gold - AAKX0752",SCHNEIDER ELECTRIC,AAKX0752,
12020,BM0M2G1,SCHNEIDER OPALE 1-2 M Grid & 2 M Cover Frame - Matt Silver - AAKX0742,"SCHNEIDER ELECTRIC OPALE 1-2 Module Grid & 2 Module Cover Frame, Colour Matt Silver - AAKX0742",SCHNEIDER ELECTRIC,AAKX0742,
12021,BM0M2D6,SCHNEIDER OPALE 1-2 M Grid & 2 M Cover Frame - White - X0702,"SCHNEIDER ELECTRIC OPALE 1-2 Module Grid & 2 Module Cover Frame, Colour White - X0702",SCHNEIDER ELECTRIC,X0702,
12022,BM0M2I7,"SCHNEIDER OPALE Metal Box 12 modules, 1 mm - GR1112","SCHNEIDER ELECTRIC OPALE 12 Module Metal Box, Size 1 mm - GR1112",SCHNEIDER ELECTRIC,GR1112,
12023,BM0M2E4,SCHNEIDER OPALE 18 M Grid & 18 M Cover Frame - White - AAKX0718,"SCHNEIDER ELECTRIC OPALE 18 Module Grid & 18 Module Cover Frame, Colour White - AAKX0718",SCHNEIDER ELECTRIC,AAKX0718,
12024,BM0M2I8,"SCHNEIDER OPALE Metal Box 18 modules, 1 mm - GR1118","SCHNEIDER ELECTRIC OPALE 18 Module Metal Box, Size 1 mm - GR1118",SCHNEIDER ELECTRIC,GR1118,
12025,BM0M2T1,"SCHNEIDER OPALE Wall Plate, Flush Surround, 56FA2-GY","SCHNEIDER ELECTRIC OPALE 2 Gang Flush Surround Wall Plate, Width 157 mm, Depth 12 mm - 56FA2-GY",SCHNEIDER ELECTRIC,56FA2-GY,
12026,BM0M2Q7,SCHNEIDER OPALE 2 Gang 15A Single Pole Switch - WS226/2-RG-EX,"SCHNEIDER ELECTRIC OPALE 2 Gang Single Pole Switch, Current 15A - WS226/2-RG-EX",SCHNEIDER ELECTRIC,WS226/2-RG-EX,
12027,BM0M2P3,"SCHNEIDER OPALE Adaptable Enclosure 2 Gangpoints, 198 X 101 X 140 mm - 56DB2-GY","SCHNEIDER ELECTRIC OPALE 2 Gangpoint Adaptable Enclosure, Height 198 mm, Width 101 mm, Depth 140 mm - 56DB2-GY",SCHNEIDER ELECTRIC,56DB2-GY,
12028,BM0M2Q0,"SCHNEIDER OPALE 2 Gangpoints, 204 X 101 X 90mm - 56JB2-GY","SCHNEIDER ELECTRIC OPALE 2 Gangpoints Junction Box, Size 204 X 101 X 90 mm - 56JB2-GY",SCHNEIDER ELECTRIC,56JB2-GY,
12029,BM0M2R1,"SCHNEIDER OPALE 2 Gang, 10A Surface Mounting Pushbutton Station-Stop/Start - WS226/2PB-RG-EX","SCHNEIDER ELECTRIC OPALE 2 Gangpoints Surface Mounting Push Button with Enclosure, Current 10A - WS226/2PB-RG-EX",SCHNEIDER ELECTRIC,WS226/2PB-RG-EX,
12030,BM0M2X1,"SCHNEIDER OPALE 6 A Bell Push Switch with Indicator (2M), Coke Grey - AAKY1086","SCHNEIDER ELECTRIC OPALE 2 Module Bell Push Switch with Indicator, Current 6A, Colour Coke Grey - AAKY1086",SCHNEIDER ELECTRIC,AAKY1086,
12031,BM0M2W7,"SCHNEIDER OPALE 6 A Bell Push Switch with Indicator (2M), White - X1086WH","SCHNEIDER ELECTRIC OPALE 2 Module Bell Push Switch with Indicator, Current 6A, Colour White - X1086WH",SCHNEIDER ELECTRIC,X1086WH,
12032,BM0M2W9,"SCHNEIDER OPALE 6 A Bell Push Switch (2M), Coke Grey - AAKY1025","SCHNEIDER ELECTRIC OPALE 2 Module Bell Push Switch, Current 6A, Colour Coke Grey - AAKY1025",SCHNEIDER ELECTRIC,AAKY1025,
12033,BM0M2W5,"SCHNEIDER OPALE 6 A Bell Push Switch (2M), White - X1025WH","SCHNEIDER ELECTRIC OPALE 2 Module Bell Push Switch, Current 6A, Colour White - X1025WH",SCHNEIDER ELECTRIC,X1025WH,
12034,BM0M3J2,"SCHNEIDER OPALE 20A, DP Switch with Indicator Lamp, Coke Grey - AAKY1286","SCHNEIDER ELECTRIC OPALE 2 Pole Switch with Indicator Lamp, Current 20A, Color Coke Grey - AAKY1286",SCHNEIDER ELECTRIC,AAKY1286,
12035,BM0M3I0,"SCHNEIDER OPALE 20A, DP Switch with Indicator Lamp, White - X1286WH","SCHNEIDER ELECTRIC OPALE 2 Pole Switch with Indicator Lamp, Current 20A, Color White - X1286WH",SCHNEIDER ELECTRIC,X1286WH,
12036,BM0M3I1,"SCHNEIDER OPALE 32A DP Switch, White - AAKX1232","SCHNEIDER ELECTRIC OPALE 2 Pole Switch, Current 32A, Color White - AAKX1232",SCHNEIDER ELECTRIC,AAKX1232,
12037,BM0M3I7,"SCHNEIDER OPALE 16A, 2-Way Switch, Coke Grey - AAKY1102","SCHNEIDER ELECTRIC OPALE 2 Way Switch, Colour Coke Grey - AAKY1102",SCHNEIDER ELECTRIC,AAKY1102,
12038,BM0M3H5,"SCHNEIDER OPALE 16A, 2-Way Switch, White - X1102WH","SCHNEIDER ELECTRIC OPALE 2 Way Switch, Colour White - X1102WH",SCHNEIDER ELECTRIC,X1102WH,
12039,BM0M3I4,"SCHNEIDER OPALE 6A, 2-Way Switch, Coke Grey - AAKY1002","SCHNEIDER ELECTRIC OPALE 2 Way Switch, Current 6A, Color Coke Grey - AAKY1002",SCHNEIDER ELECTRIC,AAKY1002,
12040,BM0M3H2,"SCHNEIDER OPALE 6A, 2-Way Switch, White - X1002WH","SCHNEIDER ELECTRIC OPALE 2 Way Switch, Current 6A, Color White - X1002WH",SCHNEIDER ELECTRIC,X1002WH,
12041,BM0M2K6,"SCHNEIDER OPALE 6A 2-Pin/3-Pin Socket Outlet with Shutter, Coke Grey - AAKY2005","SCHNEIDER ELECTRIC OPALE 2/3 Pin Socket Outlet with Shutter, Current 6A, Colour Coke Grey - AAKY2005",SCHNEIDER ELECTRIC,AAKY2005,
12042,BM0M2J8,"SCHNEIDER OPALE 6A 2-Pin/3-Pin Socket Outlet with Shutter, White - X2005WH","SCHNEIDER ELECTRIC OPALE 2/3 Pin Socket Outlet with Shutter, Current 6A, Colour White - X2005WH",SCHNEIDER ELECTRIC,X2005WH,
12043,BM0M2P4,"SCHNEIDER OPALE Adaptable Enclosure 3 Gangpoints, 294 X 101 X 140 mm - 56DB3-GY","SCHNEIDER ELECTRIC OPALE 3 Gangpoint Adaptable Enclosure, Height 294 mm, Width 101 mm, Depth 140 mm - 56DB3-GY",SCHNEIDER ELECTRIC,56DB3-GY,
12044,BM0M2Q1,"SCHNEIDER OPALE 3 Gangpoints, 300 X 101 X 90mm - 56JB3-GY","SCHNEIDER ELECTRIC OPALE 3 Gangpoints Junction Box, Size 300 X 101 X 90 mm - 56JB3-GY",SCHNEIDER ELECTRIC,56JB3-GY,
12045,BM0M2E7,SCHNEIDER OPALE 3 M Grid & 3 M Cover Frame - Coke Grey - AAKY0803,"SCHNEIDER ELECTRIC OPALE 3 Module Grid & 3 Module Cover Frame, Colour Coke Grey - AAKY0803",SCHNEIDER ELECTRIC,AAKY0803,
12046,BM0M2H1,SCHNEIDER OPALE 3 M Grid & 3 M Cover Frame - Matt Gold - AAKX0753,"SCHNEIDER ELECTRIC OPALE 3 Module Grid & 3 Module Cover Frame, Colour Matt Gold - AAKX0753",SCHNEIDER ELECTRIC,AAKX0753,
12047,BM0M2G2,SCHNEIDER OPALE 3 M Grid & 3 M Cover Frame - Matt Silver - AAKX0743,"SCHNEIDER ELECTRIC OPALE 3 Module Grid & 3 Module Cover Frame, Colour Matt Silver - AAKX0743",SCHNEIDER ELECTRIC,AAKX0743,
12048,BM0M2D7,SCHNEIDER OPALE 3 M Grid & 3 M Cover Frame - White - X0703,"SCHNEIDER ELECTRIC OPALE 3 Module Grid & 3 Module Cover Frame, Colour White - X0703",SCHNEIDER ELECTRIC,X0703,
12049,BM0M2J0,"SCHNEIDER OPALE Metal Box 3 modules, 0.8 mm - GE0103","SCHNEIDER ELECTRIC OPALE 3 Module Metal Box, Size 0.8 mm - GE0103",SCHNEIDER ELECTRIC,GE0103,
12050,BM0M2I2,"SCHNEIDER OPALE Metal Box 3 modules, 1 mm - GR1103","SCHNEIDER ELECTRIC OPALE 3 Module Metal Box, Size 1 mm - GR1103",SCHNEIDER ELECTRIC,GR1103,
12051,BM0M2E8,SCHNEIDER OPALE 3 Module Universal Grid & 3 M Cover Frame - Coke Grey - AAKY0833,"SCHNEIDER ELECTRIC OPALE 3 Module Universal Grid & 3 M Cover Frame, Color Coke Grey - AAKY0833",SCHNEIDER ELECTRIC,AAKY0833,
