ItemNo,ItemDescription,Service_or_Material,TCS
BM9G2Z8Q,Pencil Hardness,Service,No
BM9W3B4Q,Per Day Supervision Charges,Service,No
BM9T0U5,Percentage Volume Solid,Service,No
BM9U4N8Q,"Perform ICPMS on Surface Ofthe Part (Elements Al, Ca, Cr, Cu, Fe, Mg, Mn, Ni,K, Na, Ti, Zn, Pb, and",Service,No
BM9P4Y4,Performance Materials Services,Service,No
BM9S3F1,Pest Control Service,Service,No
BM9F1E4,Pevarblock Fixing (4004),Service,No
BM9H7C8,PH Meter Non NABL,Service,No
BM9Q1Y3,Phase Rotation Tester Calibration charges,Service,No
BM9W6K7,Photographers for Schwarzkopf Launch event,Service,No
BM9G2G0,Photography Charges,Service,No
BM9U2R4,Photography for Oil Ultime,Service,No
BM9T1Y2B,Photography of SKP Blonde Campaign,Service,No
BM9P6N4,Photography Services for EL 2018,Service,No
BM9Z3N7,"Phthalate�testing�of�these�----��Di�butyl�phthalate,�Di�2-ethyl�hexyl�phthalate,�Butyl�benzyl�phthal",Service,No
BM9K7S0,Pick up Charge per visit,Service,No
BM9R3Z8,Pie Field Indicator (As Per ISO 9934-3),Service,No
BM9F5Q3,Pigeon Protection Frame In Plant,Service,No
BM9T7I1,"Pipe for Machining Work, Size 450 mm",Service,No
BM9P5G4,Piping Engineering Service per Manhour,Service,No
BM9P0H2,Planogram NCA Packshot Placement,Service,No
BM9S5Y9,Planogram PHC (New 3D Created & Packslot Placement),Service,No
BM9O0L7,Planogram PHC Packshot Placement,Service,No
BM9K8M3,Plasma and Radio Frequency in Material Synthesis� Foundations to Frontiers (One day Program 09Septem,Service,No
BM9L0B2,Plaster,Service,No
BM9G7R0,Plaster (4004),Service,No
BM9Z0B0,Plaster (6350),Service,No
BM9F0Y3,Plastic and Baffle Set Design,Service,No
BM9T7S8,Platform & Ladder Installation In Bogie,Service,No
BM9I6Z4,PLC Programing Chargers,Service,No
BM9C5Z7K,Plumbing Work,Service,No
BM9H0E8,POC Hybrid Inclinometer with Accessories,Service,No
BM9T9G4,Pole Painting,Service,No
BM9T5X2,Polymer Test Analytes Molecular Weight (GPC),Service,No
BM9Q3T8,Pool Side Supplementary Charges,Service,No
BM9K1U1,Porosity,Service,No
BM9F9N2,Postage & Courier Charges,Service,No
BM9I6U0,Powder Sample M046,Service,No
BM9X4Q8,Power meter-BM9X4Q8,Service,No
BM9Z9Y1,"PPGL Sheet Cutting & Fixing, All Sheet Fixing With Removal Screw Arrangement with Painting And Labou",Service,No
BM9R5U3,PPRC Pipe Line FEB And Fixing Work,Service,No
BM9N6X9,"Precia Molan Drum Filling System, Mettler Weighing Scale (Capacity 50 to 1500 Kg)",Service,No
BM9G1I8,Precision Source Measure unit - Agilent B2901A,Service,No
BM9G0Z6,"Pre-Commission Cleaning of Tanks, Pipelines and Vessels",Service,No
BM9Q2K6,Pre-Compliance Testing Non-Chamber Test (1 slot),Service,No
BM9W3L9,Preparation of Contour Survey for Industrial Project,Service,No
BM9X5M3J,"Preparation of Drawing Work for GA Layout, Plan and Elevation",Service,No
BM9P0P8,Preparation Of Electrical Schematic & Physical Layout Drawings,Service,No
BM9I4F6,"Preparation of Factory Drawings as per Factories act, Making Proposal (online as well as hard copy)",Service,No
BM9K3A5,"Preparation of Factory Drawings as per Factories act,Revised Plan for Phase I",Service,No
BM9P9O8,Preparation Of Master Layout for Environmental Clearance Process for Industrial Project,Service,No
BM9S8W0,Preparation of On-Site Emergency Plan,Service,No
BM9C4Q6I,"Preparation of Revised Factory Plan & Process Details Flow Chart,Machinery Layout for Directorate I.",Service,No
BM9W4J2,Preparation of Technical Documentation,Service,No
BM9H4X6V,Preparing Hygiene Posters & Tent Cards & Door Stickers,Service,No
BM9I1B7,Pressure gauge 4'' 10bar Service,Service,No
BM9A8I5,Pressure gauge 4'' 20bar Service,Service,No
BM9W0F1,Pressure gauge 4'' 21bar Service,Service,No
BM9V9E9,Pressure gauge 4'' 60bar Service,Service,No
BM9U9T9,Pressure gauge 6'' 10bar Service,Service,No
BM9C6O9,Pressure gauge 6'' 160bar Service,Service,No
BM9Q3R0,Pressure gauge 6'' 25bar Service,Service,No
BM9O0G9,Pressure gauge 6'' 42bar Service,Service,No
BM1A7U6,"Pressure Gauge,",Service,No
BM1A6C0,"Pressure Gauge, Dial, Size 2-1/2"", Dial 63mm-BM1A6C0",Service,No
BM9S4E3,Pressure Transmitter,Service,No
BM9Q5Q6,Pressure Transmitter 0-24 Bar-BM9Q5Q6,Service,No
BM9H1X7,PRESTO Cobb Sizing Tester - PCS-23,Service,No
BM9P7V4,PREVENTIVE MAINTANCE VIST AT (SITE GAIL FIROZABAD)FROM 2/07/2018 TILL 03/07/2018 ( 02 DAYS ),Service,No
BM9Q7P3,Preventive Maintance Vist From 07/12/2018 Till 14/12/2018 - 08 Days,Service,No
BM9Z7L9,PREVENTIVE MAINTENANCE VIST FROM 22/04/2018 TILL 23/04/2018 ( 2 DAYS ),Service,No
BM9P6P3G,Print Designs for schwarzkopf,Service,No
BM9R2V4,"Print Shoot with Schwarzkopf, 3 Models, May 5 & 6th, 2019, Mumbai",Service,No
BM9B0M0,Printing and Supplying Charges of Appointment Book,Service,No
BM9T2E4,Printing Charges,Service,No
BM9U9C0,"Process manufacturing development for each and every stage of manufacturing, Developing alternate me",Service,No
BM9E9X0,Producer Photography,Service,No
BM9I8Q6W,Product Descriptions for E-Commerce Listing,Service,No
BM9O2G5,Product Development Consultation Charges,Service,No
BM9H6U7,Production Block Railing Painting-Yellow Primer & One Coat of Paint Yellow Colour,Service,No
BM9A0D8,Production Costs Estimate for Digital Content Shoot for 13th and 14th August 2020,Service,No
BM9E0T3,Professional Consultancy Fees ( Jan 2020 to Dec 2020),Service,No
BM9U1Y9,Professional Duct Engineering Service,Service,No
BM9D6I2,Professional Engineering Service for Engineering Drawings,Service,No
BM9K4X0,Professional Fee for July 2019,Service,No
BM9Z5L7,Professional Subscription SUL 1 year,Service,No
BM9N0B1,Proffesional Charges to Merge Two Bag Counting System,Service,No
BM9U2H5,Proficiency Testing Program Participation,Service,No
BM9A6D6,Programer Visit Charges,Service,No
BM9H3N8,Programming Charge for Emerson CT make 10nos. Logicstick,Service,No
BM00043,Programming Charge for Emerson CT make 10nos. Logicstick.,Service,No
BM9O5Q2,"Project Fees for the above scope of work for 3 months ( Jan, Feb, March-2020)",Service,No
BM9B8A9C,Projector,Service,No
BM9N6U3,Projector LCD Panel Replacement Services,Service,No
BM9T7S0,Protection Against Corrosion Under Condition of Condensation 500 hrs,Service,No
BM9N6O2I,Providing & Fixing Transparent Sheet Include Existing Colour Coated Sheet Cutting & Removing,Service,No
BM9R7M0,"Providing and Fixing 36 W 3600 lm 2'X2' LED Panel Recessed lights, Wipro Make",Service,No
BM9X1K4,"Providing and Fixing Aluminium Work for Window, Ventilator Shutters with EPDM Rubber / Neoprene Gask",Service,No
BM9Z3M9,"Providing and fixing aluminum work for door, window, ventilator shutter sand partitions etc.",Service,No
BM9E7I7,Providing and fixing Americal quality MAC or Equivalent Polyester,Service,No
BM9S6Z5,Providing and fixing American quality MAC or Equivalent Polyester Roller Blinds,Service,No
BM9D3N0,"Providing and fixing false ceiling with Gypsum Board in the centre, Gyproc Make",Service,No
BM9V0C6,Providing and fixing false ceiling with PPGI Layln Tile 600X600mm 0.5mm thick,Service,No
BM9T8P3T,Providing and Fixing of Jet Black Crystal Film on Glass as per Design,Service,No
BM9T8L9,Providing and fixing Sliding aluminium door and fixing 100mm brass locks. complete with float glass,Service,No
BM9A0J6,Providing and fixing Wooden Wall Cabinets,Service,No
BM9Z1L8,Providing and laying Double Charge Vitrified floor of 600X600 mm laidon 6mm thick Modern Tile,Service,No
BM9W1V8,Providing and Laying Factory Made Grey Colored Hydraulic Pressed I-Shaped 60 mm Thick Paver Blocks o,Service,No
BM9L7T0,Providing Hiring Services for Toyoseiki Picma Tack Tester P3,Service,No
BM9X0N4,Providing of End Termination for Above Cable,Service,No
BM9V0U5,"Provision and Fixing of wiring of wall mounted circulated fan at pool floor sockets, Plugs and labou",Service,No
BM9U7I9,Provision EN ISO 9712 Procedure Approval 1,Service,No
BM9V8Z2,Provisional Fire NOC,Service,No
BM9R6Q7,Proximity Vibration Transducer with cable-BM9R6Q7,Service,No
BM9X8Q5,PT calibration 11000/110V-BM9X8Q5,Service,No
BM9T5P5,PT calibration 3300/110V-BM9T5P5,Service,No
BM9P2A7,Pump Motor Servicing 110VAC (Servicing -BM9P2A7,Service,No
BM9T5X1,PVC Cable Duct.0,Service,No
BM9N4H1Q,PVC Foam with Vinyl Printing,Service,No
BM9W1S4,PVC Spout (3943),Service,No
BM9X1X5,PWAMC Charges,Service,No
BM9Y2P0,QPS Brochure,Service,No
BM9V0K2,Quarterly Incentives,Service,No
BM9L1Z5,Quartz Fiber Dosimeter - Calibration from AERB Approved Calibration Lab,Service,No
BM9V9T2,R-201 Screw Conveyor Dismental Work,Service,No
BM9D3I1,R-22 Gas Service of Split Unit,Service,No
BM9V9N8,"Rack Support, Exit Staircase Painting,Indoor Outdoor Painting,Metal door Shutter Painting",Service,No
BM9Z5H9,Radiation Survey Meter - Calibration from AERB Approved Calibration Lab,Service,No
BM9T5X0,Radiography Charges for IR-192/X-Ray Equipment with Crew,Service,No
BM9S2T8,Rate of CAB for Employees,Service,No
BM9X7I2,RAVEL GAS Supression Maintainance,Service,No
BM9P7D0,"Raw Material Analysis include analysis of parameters like Description, Identification, Solubility, H",Service,No
BM9N0A6,"Re Calibration of CR10 Radiometer, Sr.No.16-2036-5-CR10",Service,No
BM9A0O1,Reaction Calorimetry Study,Service,No
BM9T7T7,Rebound hammer + Ultrasonic Pulse Velocity test for Beams,Service,No
BM9O4H6,Rebound hammer + Ultrasonic Pulse Velocity test for Columns,Service,No
BM9V4Q6,Recee Charges,Service,No
BM9V2X2,Recoating Time,Service,No
BM9Z1A6,Rectification Charges of 5 KvA Better Power UPS,Service,No
BM9B3T2,Re-Fabrication of PDDT Platform with 03 mm Aluminium Check Sheet,Service,No
BM9G0Q7,Re-Fabrication of PDDT Platform with 03 mm Aluminium Check Sheet 310 Sq. Ft,Service,No
BM9K3H5,Reference Block Type-1(MTU-3) (As Per ISO 9934-2 )Test Cert,Service,No
BM9O7K4V,Refilling Charges,Service,No
BM9Y7D0,"Refilling of ABC Type�Fire Extinguisher,�Capacity 4 Kg",Service,No
BM9Q1X0,Refilling of BA Cylinder,Service,No
BM9Y8E9,Refurbishment of existing ETP-STP collection tanks.,Service,No
BM9W2Y0,Refurbishment of Triple Roll Mill,Service,No
BM9Y5H0,Registration and Examination Fee of IWS,Service,No
BM9Z5P8,REGULAR AMC VISIT CHARGES FOR ENGINEERS FOR SERVICING OF JISKOOT AUTO SAMPLER FOR 8 HRS/DAY (2 PERS,Service,No
BM9V3D9,Reimbursement of Material Handling Charges of L027K SLEEVE NOMINAL(1BSD100738P0001) and L027K SLEE,Service,No
BM9S3F5B,Reinforcement,Service,No
BM9W5N7,Reinforcement (4373),Service,No
BM9J7X9G,Reinforcement Steel (3943),Service,No
BM9W6B2,Reinforcement Steel (6350),Service,No
BM9F1E0,Reliability study,Service,No
BM9Y5U4,Removal and Repositionsing of Steel Table With Granite Slab.0,Service,No
BM9W9G2,Removal of Granite Slab and Reconstructing the Site.0,Service,No
BM9S0P6,Removal of old GI Sheet & Installation of New Air Ventilator Turbo with FRP Sheet,Service,No
BM9W5C4U,Removal of Old GI Sheet and Installation of New FRP Sheet,Service,No
BM9Y2Z6,Removing & Fixing of 500 mm Cable Tray Cover,Service,No
BM9R7D3,Removing Old Paver Block (4004),Service,No
BM9R6I9,Removing the Earth and Levelling the Surface and Disposal of Excess Earth,Service,No
BM9C2C8L,"Remuneration for Yoga Services, Hall Rent & Darries",Service,No
BM9Y1J9,"Rental Charges for Projector & Screen, Sound System with Cordless Mic",Service,No
BM9U4J8H,Rental Charges for Spartan Rope Suspended Platform � SRP80PL,Service,No
BM9T8J7E,Rentals for Vario Blonde,Service,No
BM9Z3M3,Repair & Service charges Of kessler Motor.,Service,No
BM9U1R7,Repair & Service of Godrej Stacker Controller,Service,No
BM9I8V5,Repair and Maintenance Charge for Cutes Ac Motor Speed Controller VFD Model No - CT-2000F,Service,No
BM9N9Z5,Repair and maintenance of actuators in one day-BM9N9Z5,Service,No
BM9P2L4,Repair and rectification of Slm 2238 Mediator serial no: 2762725 (inho-BM9P2L4,Service,No
BM9J9F5N,Repair and Servicing of Soraluce Make Auto Head,Service,No
BM9P4H1,Repair Charges Model no. XL3t 900,Service,No
BM9S6I5,Repair Charges of Weiss Chamber Controller Card,Service,No
BM9P5K6,Repair of 7500 kVA RITZ make transformer,Service,No
BM9Z2P0,Repair of Joshnson Pump with Material,Service,No
BM9P9T2,Repairing And Rectification Of Coating,Service,No
BM9K2B8,Repairing and Relaying of Gents Bathroom and MI Room,Service,No
BM9J4D0,Repairing and Relaying of Pool Floor Tiles,Service,No
BM9P2U8,Repairing and Relaying of pool Floor Tiles.,Service,No
BM9Y9T6,Repairing and Rewiring of 1 Ton Air Conditioner,Service,No
BM9F2A9,Repairing and Rewiring of 2 Ton Air Conditioner,Service,No
BM9B7Y3,Repairing and service of Split Unit,Service,No
BM9D5P0,Repairing and Servicing of Fire Alarm System,Service,No
BM9H7F6,Repairing Charge for ELPRESS Hand Tools Sr .No. 002,Service,No
BM9O6T7,Repairing Charge for ELPRESS Hand Tools Sr. No. 001,Service,No
BM9R0R8,Repairing Charge for ELPRESS Hand Tools Sr. No. 003,Service,No
BM9R1Z2,"Repairing Charges for Vaccum Pump, Serial No. 609586 - PCI-75-FM-5",Service,No
BM9U9T0,Repairing Charges of Essae DC85 Indicator Display and Power Supply,Service,No
BM9U5R9,Repairing of 02 in 05 HP Motor,Service,No
BM9H7L7,Repairing of 02 in Non Return Valve,Service,No
BM9S1E9,Repairing of Air Bearing (SE1200H-40),Service,No
BM9W0L3,Repairing of Behringer DI-400 Four Channel Mixer,Service,No
BM9I4L9,Repairing of Cooling System (DG Radiator),Service,No
BM9E4W8V,Repairing of Eccentric Bush/Gear,Service,No
BM9O4Q3,Repairing of Mother Board Changing of Capacitor and Rewiring of 1.5 Ton Air Conditioner,Service,No
BM9H6O5,Repairing of MV-213 Drive Shaft & Agitator Shaft with Two Impeller Balancing,Service,No
BM9O9D3,Repairing of Stabilizer,Service,No
BM9Q9Y6,"Repairing, Reconditioning, Grinding, Lapping and Replacement of Worn Out Parts of your Single Coil M",Service,No
BM9X0M3,"Repairing, Reconditioning, Grinding, Lapping and Replacement of Worn Out Parts of your Teflon Bellow",Service,No
BM9Q6V6,"Repairing, Reconditionings, Grinding, Lapping and Replacement of Worn Out Parts of your Teflon Bello",Service,No
BM9V3O0,"Repairings, Reconditioning, Grinding, Lapping and Replacement of Worn Out Parts of your Single Coil",Service,No
BM9Q1D7,Repairs and Manitenance Repairing Testing of faulty flow computer,Service,No
BM9H2O5,Repairs Of Cummins Power Command 3.3 Controller Whole Membrane Keyboa Replaced at Plant Premises,Service,No
BM9N6E7L,Repairs of Drive,Service,No
BM9G0O2,Replacement of electronic module and sensor of CO2 Analyzer,Service,No
BM9A2O6D,Report of Design & Development for GPNQA 2020,Service,No
BM9Q5T6,"Residual Field Indicator - Gauss meter ( Analogue / Digital ) up to 20,000 Gauss (As Per ISO 9934-3)",Service,No
BM9L6V4I,Resistance to 30% W/v Citric Acid for 3 hrs,Service,No
BM9F1Y5,Resistance to 5% v/v ammonia for 20 min,Service,No
BM9Z1C0,Resistance to Lubricating Oil 24hr,Service,No
BM9D0B5,"Resistance to Solvents for 20 min (Acetone, Toulene)",Service,No
BM9H1X3,Revised - Pad with correct height adjustment need to be Made / Current Gauge Need to be Modified wit,Service,No
BM9V9J5,Rigger Supply,Service,No
BM1A3Z3,RISHABH Digital Multimeter 410 With Neck Belt And Holster 410,Service,No
BM1G1Y0,RISHABH Digital Multimeter AC Volt Range 400MV To 1000V - DMM410FT,Service,No
BM1B0V8,RISHABH Rishmulti-15S Digital Multimeter 15S,Service,No
BM9X7I7,Risk Assessment Based on Maximum Credible Loss Scenario In Respect of Storages of Solvents/Hazardous,Service,No
BM9W0X1,Robot Gun Cylinder (jc058) Servicing,Service,No
BM9A0W2,Robot Head Suction Cylinder Repairing Charges,Service,No
BM9D0S3,Robot Hydraulic Cylinder Repairing Charges,Service,No
BM9R9R2,"Rockwool Insulation LRB 100/50 mm with Aluminium Cleding Insulation Dismantling, Size 1.640 X 1.22 m",Service,No
BM9Q4C6,Roll Up Standees Delivery with Transportation,Service,No
BM9Y1F2,"Rolling Shutters Painting-2 Coat of Colour, Colour Code Grey Metallic",Service,No
BM9Y8I9,Room Charges for 5 Days,Service,No
BM9V1I0,Room Package (Adult & Children) for 2 Nights,Service,No
BM9J0E9,Room Tariff (APAI) Double,Service,No
BM9Z8F2,Room Tariff (APAI) Single,Service,No
BM9Z8Q2,Rough Estimate for Service & Repairing of your APC 6KVA Online ups system,Service,No
BM9P3X6,RPS blcok-BM9P3X6,Service,No
BM9P4D5,RPS block (2 operation which includes parting of RPS block)-BM9P4D5,Service,No
BM9Z5A8,RTD,Service,No
BM9U3X6,RTD SENSOR 3 WIRE PT100-BM9U3X6,Service,No
BM9O4J1,Rubble Soling (4070),Service,No
BM9P0Y4,Run Test,Service,No
BM9P1H9,Run Test-1,Service,No
BM9F0S9,RUPEE DEPRECIATION SURCHARGE,Service,No
BM9C4N5,Rust Removing of PDDT and RHT Platform,Service,No
BM9O4D6,S000MKCLK0001 MIKROELEKTRONIKA Mikroe-3015 Opto 2 Clic Optoisolated Interface for Front Panel Button,Service,No
BM9P9H3K,"S000RSXXX0170 Isolated Power Supply Unit, Primary Voltage 230 or 400V AC , Scecondary 115 or 230V AC",Service,No
BM9K1U5,S000SFEIT0001 1/4 NPTF + 1/8 NPTF Threaded Adjustable VACuum Pump (Ejector) AISI 316L,Service,No
BM9Z8G6K,S000TCTBL0001 Din Mount Detachable Screw Terminal Blocks Power Supply for Optoisolated Front Panel B,Service,No
BM9V3K6,"SAB China - Travelling ( Reema,Shahbu,Shirin,Smita)",Service,No
BM9V2V9,Sab Hair Magazine Satin Proof D/S,Service,No
BM9Q6E4,Sab Hair Magazine Satin Proof S/S,Service,No
BM9S6P7,Sab Salon International Mag AD Satin Proof D/S,Service,No
BM9S4D6,Sab Salon International Mag AD Satin Proof S/S,Service,No
BM9Q4W2,Sab Style Speak Magazine Satin Proof,Service,No
BM9Q8W1,Sab Style Speak Magazine Satin Proof D/S,Service,No
BM9N2Q7H,SABC Creatives,Service,No
BM9Q5H5,Sabc Hotel Accomadation,Service,No
BM9M8G0,SABC Photo & Video,Service,No
BM9X7S5,SABC Tour Bangalore/Chenna Photography,Service,No
BM9N7O1,Sabc Tour Travelling Allowance,Service,No
BM9T5O1,Sabc Video Content,Service,No
BM9Z8D0,Saco Collection Launch Seminar on 7th October 2019,Service,No
BM9Y9H8,"Safety Audit as Per Maharashtra Factories (Safety Audit) Rules, 2014",Service,No
BM9L3R9,Safire Room Rent Per Day,Service,No
BM9G1H1T,Salon Hygiene Certificate - Bony,Service,No
BM9G6Y8W,Salon Hygiene Certificate - Hitesh,Service,No
BM9X1I6,Salon Hygiene Certificate - Nitin,Service,No
BM9F0L3,Salon Hygiene Certificate - Richa,Service,No
BM9E0W1,Salon Safety Kit - One Pager Slab Sheet Both Side,Service,No
BM00039,Salt spray S450ip Calibartion,Service,No
BM9F7I6V,Salt Spray Test for Bonderite 0 to 3032 Panels of 2 Samples for 500 hrs,Service,No
BM9T9I4,Same Arrangement as of X Dimension Butting Reference to be Provided for Y Direction Also,Service,No
BM9P8U7,Sample Characterisation,Service,No
BM9S5Y0,"Sample Flow Cell for Low concentrations, Length 30 cm",Service,No
BM9E4O3,"Sample Flow Cell for Low Concentrations, Length 60 cm",Service,No
BM9N2J7,"Sample Flow Cell for very low concentrations, Length 60 cm",Service,No
BM9I1V5,Samples Analysis of EC-1B & EC-2B,Service,No
BM9V8B3,Samples Characterisation,Service,No
BM9P4I3,Sampling Charges,Service,No
BM9V0Q5,Sand Blasting of Pump Case,Service,No
BM9W3K6,"Sanitization Service - 1 Wareshouse, Warehouse Size 5000sqft",Service,No
BM9I3B6,"Sanitization Service - 2 Wareshouse, Warehouse Size 12000sqft & 14000sqft",Service,No
BM9Q6Z7Z,Sartup Charges,Service,No
BM9S6Z3B,"Scaffolding, Un-loading, Welding , Cutting & Hydra Crane for Installation",Service,No
BM9Y9C0,Schwarkopf Lakme Salon Shoot,Service,No
BM9Q8E3,Schwarzkopf BTS Video Cinematography service,Service,No
BM9H3S0S,Schwarzkopf Collateral Artworks 16 Pages,Service,No
BM9X9Z8,Schwarzkopf Distributer�s Meet 2019,Service,No
BM9U3G7,Schwarzkopf Florian Hurel Brand Ambassador Contract FY-18/19,Service,No
BM9L0U8,"Schwarzkopf Florian Hurel Brand Ambassador Contract FY18/19 (3rd Estimate), Indiawith Florian Hurel",Service,No
BM9H6R0,"Schwarzkopf Florian Hurel Brand Ambassador Contract FY18/19 (4th Estimate), Indiawith Florian Hurel",Service,No
BM9P2M0,Schwarzkopf Media Plan for the Month of August 2020,Service,No
BM9V6C6B,Schwarzkopf Media Plan for the Month of July 2020,Service,No
BM9D7X7V,Schwarzkopf Media Plan for the Month of June 2020,Service,No
BM9B3O8,Schwarzkopf Media Plan for the Month of September 2020,Service,No
BM9T2G1,Schwarzkopf Oil Ultime Experiential at Jaipur,Service,No
BM9W2A4,Schwarzkopf Photography for EL (service),Service,No
BM9I3Y1,Schwarzkopf Slab Sheets Designing Charges for August 2019,Service,No
BM9J0L8,Schwarzkopf Vario Lights Compaign ( 1 Video and Insta Stories),Service,No
BM9M3C2M,Schwarzkopf Vario Lights Hair Colour Compaign,Service,No
BM9Y0Q4,Schwarzkopf X Lakme Cinematography,Service,No
BM9S4G3,Schwarzkopf X Lakme Photography,Service,No
BM9Q6Y8C,Scissor lift Gate Frabrication & Fixing,Service,No
BM9H0K9,Screw Conveyor Erection Work,Service,No
BM9H8Q7,Screw Conveyor Shifting Work,Service,No
BM9Y9P7,Screw Conveyor Shifting Work from Ground Floor to 2nd Floor,Service,No
BM9R7K0,Screw Conveyor Unloading Work,Service,No
BM9N1R6,Scroll Compressor SM185(12tr) Repaired,Service,No
BM9S9L2,Seal Cutting Permission,Service,No
BM9Y2M2,Search Engine Optimization Service,Service,No
BM9P4A8,SEM-EDS Analysis Per Hour,Service,No
BM9Z7G4,Seminar Invite,Service,No
BM9X8N9,Service & Material,Service,No
BM9W0H1,Service & Repairing Charges of UV Cabinet Along with Electronic Ballast,Service,No
BM9E0H3,SERVICE Chair Cover Bow Dunlop,Service,No
BM9J2E0Q,Service Charge Ductable Air Conditioner,Service,No
BM9M7S2Y,Service Charge for Acer Stacker Charger,Service,No
BM9S5V5,Service Charge for Air Dryer,Service,No
BM9Y4N6,Service Charge for DM/EDI Plant,Service,No
BM9U5Y2,Service Charge for Split Air Conditioner,Service,No
BM9Y5W6,Service Charge Per Machine,Service,No
BM9S9N8,Service Charges,Service,No
BM9D6H6,Service Charges 1,Service,No
BM9X0X3,Service Charges for Door Repair with Glass,Service,No
BM9Q0N1,Service Charges for Emergency Door Fitting at Admin Building,Service,No
BM9I6A6,Service Charges for our Service Rep,Service,No
BM9K2D5,Service Charges for Re-Installation with IQOQ documents of 01 system of Shimadzu HPLC System,Service,No
BM9Z5U1I,Service Charges for Repair Work,Service,No
BM9Q5F5,Service Charges for Repair/Inspection of EVEREST VP-201 Vacuum Pump Booster,Service,No
BM9V9M4,"SERVICE CHARGES FOR STARTER REPAIR OF YOUR CUMMINS DG SET NO-25386497,MODEL-NTA14G3",Service,No
BM9W5K2,Service Charges per day,Service,No
BM80035,Service Charges.,Service,No
BM9Z7T3,Service Contract of Desoutter Tools,Service,No
BM9N9G3,Service Engineers Visit Service Charges-BM9N9G3,Service,No
BM9F8E7,"Service for Bartender Automation (A3) Users Practically Unlimited, Connected to Same Lan, Version 11",Service,No
BM9U7S4,"Service for Elga Water System (Purelab Chorus 1 & Centra R200 - CR00002464, CEN00002138",Service,No
BM9M0R2,Service for Salt Spray Maintenance from Sept 2020 to Aug 2021 for Person 1,Service,No
BM9E5R6Y,Service for Salt Spray Maintenance from Sept 2020 to Aug 2021 for Person 2,Service,No
BM9H2N6M,Service for Salt Spray Maintenance from Sept 2020 to Aug 2021 for Person 3,Service,No
BM9L8Q0,Service for Salt Spray Maintenance from Sept 2021 to Aug 2022 for Person 1,Service,No
BM9R1G5,Service for Salt Spray Maintenance from Sept 2021 to Aug 2022 for Person 2,Service,No
BM9Z5N3,Service for Salt Spray Maintenance from Sept 2021 to Aug 2022 for Person 3,Service,No
BM9B3O5,Service for Salt Spray Maintenance from Sept 2022 to Aug 2023 for Person 1,Service,No
BM9U0S5,Service for Salt Spray Maintenance from Sept 2022 to Aug 2023 for Person 2,Service,No
BM9S7N1,Service for Salt Spray Maintenance from Sept 2022 to Aug 2023 for Person 3,Service,No
BM9T3T0,"Service for Salt Spray Maintenance, Equipment Calibration and Maintenance",Service,No
BM9X5X9,Service of Controller for Pass Box,Service,No
BM9V7O3,"SERVICE of Raw material, drilling, Welding, Machining, Assembling, Sand Blasting�and Painting",Service,No
BM9W4J9,Service Of Shifting of Debris,Service,No
BM9X7H1,SERVICE Pedestal Fan,Service,No
BM9O7C9,SERVICE Round Tablecloth Frill,Service,No
BM9P7L0,SERVICE Tablecloth with Frill,Service,No
BM9N8I7,Service Visit for Basic Instruments - 15973-61,Service,No
BM9Z7O4,Service Work in Plant,Service,No
BM9R4F8,Servicing & Calibration of Single Channel Variable & Micro Pipette Charges,Service,No
BM9W6E5,Servicing & Cleaning Charges,Service,No
BM9F0H5,Servicing & Overhauling of Humidity Chamber,Service,No
BM9M6Q5,Servicing Charge for Expert Service Engineers (Two engineers) for servicing of valves for 8 hours of,Service,No
BM9U4D9,Servicing Charge for Ordinary man days�( 14/11/2018� to 17/11/2018),Service,No
BM9O6O4,Servicing of Cyclic Corrosion Test Machine and Maintenance and Calibration of Lab Equipments,Service,No
BM9M1O2,Servicing of Filtration Pump,Service,No
BM9I3L7,Servicing of Fooseball Table,Service,No
BM9T5I2,Servicing of the Electrical Actuator,Service,No
BM9X9K2,"Servicing, Gas and Labour Charges for Replacement of Motor for 11TR Ductable Split AC",Service,No
BM9O4L0,Set Menu Lunch at Caf� 14,Service,No
BM9C2D0,Sets Of Colour Direct Out Put with Progressive Proof,Service,No
BM9S4T9,"SG00AXPUP0001 High Temperature Single Extension SS HD R-Series Pump .222 Ul/CSA Class 1 Div. 1, Grou",Service,No
BM9Y6O3,Shaft Replacement of Screw Conveyor,Service,No
BM9X4X2,SHE & BOB Certificates (Name Entry),Service,No
BM9U9I7,Shear Strength & Modulus,Service,No
BM9V8U9,shift vehicle service,Service,No
BM9X9T4,Shifting Charges of Vacuum Lifter Dismantling for Engineers,Service,No
BM9E7R0,Shifting the Excess Earth out of Site,Service,No
BM80002,Shipping Line Charges-BM80002,Service,No
BM9K7D6,Shutter spares with installation as per site inspection,Service,No
BM9F8Z9,Shuttering (3943),Service,No
BM9Q6Z1,Shuttering (4004),Service,No
BM9P4Q3,Shuttering (6350),Service,No
BM9J4K0,Signer Digital Software,Service,No
BM9M6P0,Silicon Glass Dia 50mm Thickness 0.8mm After laser Processing,Service,No
BM9Q4K3,Silicon Rubber Hose Die Making Charges,Service,No
BM9I6X3,"Silicon Wafer Dia 8""Dia 0.5mm-0.75mm-1mm-1.25mm-1.5mm-1.75mm-2mm"" (5 Times)0.8mm Thick Time: 113",Service,No
BM9U6Z1,"Silicon Wafer Dia 2"" (0.75mm Thick)",Service,No
